Due,Name,Notes,Owner,Repo Path,State,Type,id
,,,,,,,2b0b22c7-70d9-8014-811e-e366c869d46a
,Workspace (DB,,,,,,2b0b22c7-70d9-80d3-a3f4-fededd862ba5
,Add Projects/Tasks DBs,"Next: Projects, Tasks, Decisions, Approvals, Handover.",,,Planned,Design,2b0b22c7-70d9-8172-9c8e-dc2b01a0b54b
2025-11-19,Workspace bootstrap,Initial DB schema + exporter smoke.,,https://github.com/moathalzughaibi/ifns-workspace-db,In Review,Setup,2b0b22c7-70d9-81cd-bce3-f4142356f43f
,Workspace (DB)  IFNS (Hub),,,,,,2b1b22c7-70d9-8187-9989-c742170f06f6
