asset_type,file_name,old_rel_path,new_rel_path,action
doc,IFNS_UI_Master_Summary_v2.md,docs\ifns\IFNS_UI_Master_Summary_v2.md,docs\ifns_legacy\IFNS_UI_Master_Summary_v2.md,copied
doc,IFNS_UI_Steps_Index_v2.md,docs\ifns\IFNS_UI_Steps_Index_v2.md,docs\ifns_legacy\IFNS_UI_Steps_Index_v2.md,copied
doc,Phase1_Taxonomy_Governance.md,docs\ifns\indicators\checklists\Phase1_Taxonomy_Governance.md,docs\ifns_legacy\indicators\checklists\Phase1_Taxonomy_Governance.md,copied
doc,Phase2_Indicator_Universe.md,docs\ifns\indicators\checklists\Phase2_Indicator_Universe.md,docs\ifns_legacy\indicators\checklists\Phase2_Indicator_Universe.md,copied
doc,Phase3_L1_Catalog.md,docs\ifns\indicators\checklists\Phase3_L1_Catalog.md,docs\ifns_legacy\indicators\checklists\Phase3_L1_Catalog.md,copied
doc,Phase4_L2L3_Frameworks.md,docs\ifns\indicators\checklists\Phase4_L2L3_Frameworks.md,docs\ifns_legacy\indicators\checklists\Phase4_L2L3_Frameworks.md,copied
doc,Phase5_Feature_Output_Digitization.md,docs\ifns\indicators\checklists\Phase5_Feature_Output_Digitization.md,docs\ifns_legacy\indicators\checklists\Phase5_Feature_Output_Digitization.md,copied
doc,Phase6_Implementation_Runtime.md,docs\ifns\indicators\checklists\Phase6_Implementation_Runtime.md,docs\ifns_legacy\indicators\checklists\Phase6_Implementation_Runtime.md,copied
doc,Phase7_ML_Integration_Operations.md,docs\ifns\indicators\checklists\Phase7_ML_Integration_Operations.md,docs\ifns_legacy\indicators\checklists\Phase7_ML_Integration_Operations.md,copied
doc,CI_Guard.md,docs\ifns\indicators\CI_Guard.md,docs\ifns_legacy\indicators\CI_Guard.md,copied
doc,Feature_Family_and_Pytest_Starter.md,docs\ifns\indicators\Feature_Family_and_Pytest_Starter.md,docs\ifns_legacy\indicators\Feature_Family_and_Pytest_Starter.md,copied
doc,Feature_Policy_Matrix.md,docs\ifns\indicators\Feature_Policy_Matrix.md,docs\ifns_legacy\indicators\Feature_Policy_Matrix.md,copied
doc,Indicators_Feature_Schema_Phase5.md,docs\ifns\indicators\Indicators_Feature_Schema_Phase5.md,docs\ifns_legacy\indicators\Indicators_Feature_Schema_Phase5.md,copied
doc,Indicators_Implementation_Templates_Phase6.md,docs\ifns\indicators\Indicators_Implementation_Templates_Phase6.md,docs\ifns_legacy\indicators\Indicators_Implementation_Templates_Phase6.md,copied
doc,Indicators_L1_Catalog_Phase3.md,docs\ifns\indicators\Indicators_L1_Catalog_Phase3.md,docs\ifns_legacy\indicators\Indicators_L1_Catalog_Phase3.md,copied
doc,Indicators_L2L3_Catalog_Phase4.md,docs\ifns\indicators\Indicators_L2L3_Catalog_Phase4.md,docs\ifns_legacy\indicators\Indicators_L2L3_Catalog_Phase4.md,copied
doc,Indicators_Master_Index_Phases_1_to_7.md,docs\ifns\indicators\Indicators_Master_Index_Phases_1_to_7.md,docs\ifns_legacy\indicators\Indicators_Master_Index_Phases_1_to_7.md,copied
doc,Indicators_ML_Integration_Phase7.md,docs\ifns\indicators\Indicators_ML_Integration_Phase7.md,docs\ifns_legacy\indicators\Indicators_ML_Integration_Phase7.md,copied
doc,Indicators_Taxonomy_Phase1.md,docs\ifns\indicators\Indicators_Taxonomy_Phase1.md,docs\ifns_legacy\indicators\Indicators_Taxonomy_Phase1.md,copied
doc,Indicators_Universe_Phase2.md,docs\ifns\indicators\Indicators_Universe_Phase2.md,docs\ifns_legacy\indicators\Indicators_Universe_Phase2.md,copied
doc,IO_Utilities_and_Synthetic_Inputs.md,docs\ifns\indicators\IO_Utilities_and_Synthetic_Inputs.md,docs\ifns_legacy\indicators\IO_Utilities_and_Synthetic_Inputs.md,copied
doc,Manifest_Diff_Tool.md,docs\ifns\indicators\Manifest_Diff_Tool.md,docs\ifns_legacy\indicators\Manifest_Diff_Tool.md,copied
doc,Manifests_with_Family_and_Linter.md,docs\ifns\indicators\Manifests_with_Family_and_Linter.md,docs\ifns_legacy\indicators\Manifests_with_Family_and_Linter.md,copied
doc,QC_Weekly_ETL_Clip_Integration.md,docs\ifns\indicators\QC_Weekly_ETL_Clip_Integration.md,docs\ifns_legacy\indicators\QC_Weekly_ETL_Clip_Integration.md,copied
doc,QC_Weekly_ETL_Skeleton.md,docs\ifns\indicators\QC_Weekly_ETL_Skeleton.md,docs\ifns_legacy\indicators\QC_Weekly_ETL_Skeleton.md,copied
doc,QC_Weekly_Telemetry_V1.md,docs\ifns\indicators\QC_Weekly_Telemetry_V1.md,docs\ifns_legacy\indicators\QC_Weekly_Telemetry_V1.md,copied
doc,Soft_Clipping_and_Calendars.md,docs\ifns\indicators\Soft_Clipping_and_Calendars.md,docs\ifns_legacy\indicators\Soft_Clipping_and_Calendars.md,copied
doc,Unit_Test_Scaffolds.md,docs\ifns\indicators\Unit_Test_Scaffolds.md,docs\ifns_legacy\indicators\Unit_Test_Scaffolds.md,copied
doc,Operational_Framework.md,docs\ifns\Operational_Framework.md,docs\ifns_legacy\Operational_Framework.md,copied
doc,Reference_Library.md,docs\ifns\Reference_Library.md,docs\ifns_legacy\Reference_Library.md,copied
doc,CalendarGaps2025_views.md,docs\ifns\saved_views\CalendarGaps2025_views.md,docs\ifns_legacy\saved_views\CalendarGaps2025_views.md,copied
doc,CatalogL1_views.md,docs\ifns\saved_views\CatalogL1_views.md,docs\ifns_legacy\saved_views\CatalogL1_views.md,copied
doc,CatalogL2L3_views.md,docs\ifns\saved_views\CatalogL2L3_views.md,docs\ifns_legacy\saved_views\CatalogL2L3_views.md,copied
doc,FamilyMap_views.md,docs\ifns\saved_views\FamilyMap_views.md,docs\ifns_legacy\saved_views\FamilyMap_views.md,copied
doc,FeatureSchemaH1_views.md,docs\ifns\saved_views\FeatureSchemaH1_views.md,docs\ifns_legacy\saved_views\FeatureSchemaH1_views.md,copied
doc,FeatureSchemaV1_views.md,docs\ifns\saved_views\FeatureSchemaV1_views.md,docs\ifns_legacy\saved_views\FeatureSchemaV1_views.md,copied
doc,PolicyMatrix_views.md,docs\ifns\saved_views\PolicyMatrix_views.md,docs\ifns_legacy\saved_views\PolicyMatrix_views.md,copied
doc,QCWeekly_views.md,docs\ifns\saved_views\QCWeekly_views.md,docs\ifns_legacy\saved_views\QCWeekly_views.md,copied
doc,UniverseP2_views.md,docs\ifns\saved_views\UniverseP2_views.md,docs\ifns_legacy\saved_views\UniverseP2_views.md,copied
doc,Stage_00_Document_Overview.md,docs\ifns\stages\Stage_00_Document_Overview.md,docs\ifns_legacy\stages\Stage_00_Document_Overview.md,copied
doc,Stage_01_Foundations_and_Architecture.md,docs\ifns\stages\Stage_01_Foundations_and_Architecture.md,docs\ifns_legacy\stages\Stage_01_Foundations_and_Architecture.md,copied
doc,Stage_02_Data_and_Feature_Pipeline.md,docs\ifns\stages\Stage_02_Data_and_Feature_Pipeline.md,docs\ifns_legacy\stages\Stage_02_Data_and_Feature_Pipeline.md,copied
doc,Stage_03_Modeling_and_Training.md,docs\ifns\stages\Stage_03_Modeling_and_Training.md,docs\ifns_legacy\stages\Stage_03_Modeling_and_Training.md,copied
doc,Stage_04_Backtesting_and_Evaluation.md,docs\ifns\stages\Stage_04_Backtesting_and_Evaluation.md,docs\ifns_legacy\stages\Stage_04_Backtesting_and_Evaluation.md,copied
doc,Stage_05_Risk_Execution_and_SxE_Link.md,docs\ifns\stages\Stage_05_Risk_Execution_and_SxE_Link.md,docs\ifns_legacy\stages\Stage_05_Risk_Execution_and_SxE_Link.md,copied
doc,Stage_06_Paper_Trading.md,docs\ifns\stages\Stage_06_Paper_Trading.md,docs\ifns_legacy\stages\Stage_06_Paper_Trading.md,copied
doc,Stage_07_Live_Trading_and_Operations.md,docs\ifns\stages\Stage_07_Live_Trading_and_Operations.md,docs\ifns_legacy\stages\Stage_07_Live_Trading_and_Operations.md,copied
doc,Step_01_Preface_Integration.md,docs\ifns\Step_01_Preface_Integration.md,docs\ifns_legacy\Step_01_Preface_Integration.md,copied
doc,Step_02_Executive_Summary.md,docs\ifns\Step_02_Executive_Summary.md,docs\ifns_legacy\Step_02_Executive_Summary.md,copied
